30:14425	11340	8934	6138	14755	8147	11283	13401	5668	2725	7647	1392	7401	184	5275	6736	1261	240	13314	6057	14483	6944	132	4955	4471	3576	14245	7016	9679	4537	2507	13415	4580	10454	189	8416	7357	13377	5282	459	3703	1045	6921	1401	798	9719	2475	3518	7732	6380	
34:5073	5709	2691	3698	12546	7783	1664	10450	6709	13059	10537	10266	10491	1498	10148	2538	11120	10396	9725	5473	9266	5582	3377	14353	11503	5959	2473	4509	3591	11716	4713	831	875	6068	14245	14493	943	10632	8081	13834	14858	370	7845	6138	7933	3246	9695	9705	8332	10059	
39:8205	9736	7051	735	1210	9797	12129	2750	7290	7532	4494	2842	2101	10884	9695	11696	4057	6209	4713	6782	9128	2424	4082	1262	5507	4288	7145	2861	6939	12904	7901	1977	11415	13219	9757	4750	4315	3576	9655	2337	2643	11716	14093	5971	3089	4208	6819	6001	4429	2318	
41:1137	9094	1967	8758	12501	10038	1664	12158	7980	1952	13381	2424	12391	552	25	55	2101	4288	7145	3700	4860	226	12469	5716	7051	13943	7135	3089	2337	2643	11716	987	2146	5742	648	2931	8909	5886	5980	420	11602	6819	9128	397	1977	2282	10364	1097	8778	4933	
42:5460	1280	1440	184	11337	14333	2101	9036	9613	12469	3425	14681	3691	735	11716	9064	1977	4915	567	440	314	6138	1039	11136	13004	8529	8127	9315	8572	4396	3246	2513	2476	13362	4438	2968	995	11122	6404	11714	5884	4246	6720	8799	370	4057	5671	6782	13960	7290	
49:10779	7362	5400	2328	6013	9369	1039	10543	5865	4647	5559	1091	3268	1667	5262	8490	7147	10882	14648	3727	3743	2593	9496	5370	11524	1203	4113	13646	1456	6877	10858	13076	13084	3076	1592	5859	1974	3696	5126	7055	8439	9769	7747	997	11903	3933	1099	7732	7871	2539	
58:2337	4534	14353	6121	5742	4288	2101	7145	7051	648	10178	2643	11716	66	6819	9128	484	12412	3700	4687	5893	6138	10681	4860	4933	5507	9236	14715	3134	6320	7980	1508	10605	3329	5981	14606	11982	13943	3184	320	538	5196	3576	9647	11896	11845	12391	14775	2626	8385	
63:8927	10667	1168	10241	5370	10561	648	2626	5968	383	3700	4933	6727	3163	4715	2337	2159	6252	9239	6978	1562	5343	13063	7135	5671	1754	13220	5893	2630	5310	9202	3614	7989	5438	11264	2643	11415	6356	7647	7940	8513	10465	2889	8094	9128	8686	11153	12250	567	4288	
64:12250	13802	12951	9219	2914	1478	11246	2472	6978	1280	3746	3419	10178	12198	2561	8909	9221	7761	12952	10681	8121	2041	11234	13280	8235	8185	2643	11716	13251	218	12600	8005	8232	11845	11696	3869	7145	13089	2473	6138	4860	13677	5884	12241	12412	11245	292	6844	8081	11896	
67:8008	987	14472	1219	9878	14606	463	1754	8939	6404	4642	4886	14878	11636	6227	14029	12980	181	8235	836	6937	79	4381	9070	6138	14513	234	6209	3633	8646	1677	14755	8026	5893	4288	7145	2101	7135	12493	7051	7497	29	13815	2329	13502	5742	2643	2337	11716	1372	
68:29	11053	2785	6138	14607	6251	6401	14245	11110	7179	25	3856	2460	8740	183	2288	2513	2101	9536	8058	1079	7135	8288	1045	2113	9159	5227	3740	2643	3089	1977	3673	10519	14353	7679	7145	4288	10605	3163	1754	14149	7051	4933	5893	9168	7805	5884	2282	13943	8021	
