1	4	0	9	6	2	16	55	100	3	0.2	1.0	0.33333333333333337
11	2	13	0	24	1	18	3	9	6	0.1	1.0	0.18181818181818182
10	0	1	9	3	2	6	5	7	4	0.1	0.5	0.16666666666666669
8	0	1	6	7	2	15	40	3	5	0.2	1.0	0.33333333333333337
2	15	6	5	0	1	3	56	10	8	0.3	0.75	0.4285714285714285
40	0	1	6	2	3	5	8	4	9	0.1	1.0	0.18181818181818182
18	2	0	11	13	7	1	24	6	5	0.1	0.5	0.16666666666666669
0	6	1	5	2	22	7	3	4	8	0.2	0.6666666666666666	0.30769230769230765
0	2	1	78	7	6	4	39	3	8	0.2	1.0	0.33333333333333337
4	3	2	0	9	1	6	10	12	7	0.0	0.0	0.0
2	0	9	3	1	7	4	6	10	5	0.0	0.0	0.0
0	1	2	3	6	4	10	9	7	5	0.0	0.0	0.0
0	1	11	6	2	13	15	3	5	7	0.1	0.5	0.16666666666666669
1	10	0	2	6	9	5	3	8	7	0.3	1.0	0.4615384615384615
0	2	10	1	6	9	3	78	17	5	0.1	0.5	0.16666666666666669
3	4	2	0	9	23	10	1	17	6	0.1	1.0	0.18181818181818182
34	0	1	6	9	2	8	5	3	10	0.2	1.0	0.33333333333333337
2	32	4	3	0	1	57	6	13	9	0.1	0.3333333333333333	0.15384615384615383
4	3	0	2	1	7	6	16	10	5	0.1	0.3333333333333333	0.15384615384615383
4	16	3	2	12	0	1	6	7	10	0.1	0.3333333333333333	0.15384615384615383
1	0	2	3	9	6	4	10	5	7	0.1	1.0	0.18181818181818182
11	0	13	9	1	2	6	17	18	4	0.1	0.5	0.16666666666666669
0	1	2	3	9	6	4	10	5	7	0.0	0.0	0.0
71	1	2	0	15	6	5	9	308	8	0.2	1.0	0.33333333333333337
40	0	45	1	6	2	7	8	15	3	0.0	0.0	0.0
0	1	10	6	2	5	3	8	9	7	0.0	0.0	0.0
0	1	2	3	6	9	4	10	5	17	0.0	0.0	0.0
7	15	2	0	18	1	6	5	4	3	0.1	0.3333333333333333	0.15384615384615383
0	1	2	6	5	10	3	9	7	93	0.1	0.3333333333333333	0.15384615384615383
0	9	1	2	215	3	4	6	5	10	0.1	1.0	0.18181818181818182
4	3	2	0	19	6	1	5	16	7	0.1	0.25	0.14285714285714288
0	26	2	6	1	11	7	3	5	4	0.1	1.0	0.18181818181818182
0	6	1	5	2	15	3	8	7	10	0.0	0.0	0.0
1	0	2	6	10	9	3	5	17	4	0.1	1.0	0.18181818181818182
9	0	1	17	6	11	2	3	5	10	0.1	1.0	0.18181818181818182
13	18	0	2	1	15	5	11	7	6	0.1	0.5	0.16666666666666669
7	5	6	1	0	2	40	45	18	62	0.1	0.5	0.16666666666666669
3	7	2	0	4	45	1	6	12	5	0.3	0.75	0.4285714285714285
1	11	0	18	2	13	6	7	24	3	0.3	0.75	0.4285714285714285
2	0	1	7	6	9	3	4	5	18	0.0	0.0	0.0
1	0	4	9	2	6	10	3	15	16	0.1	1.0	0.18181818181818182
1	0	9	2	8	150	3	10	4	6	0.1	0.3333333333333333	0.15384615384615383
0	1	4	3	6	2	7	9	11	10	0.1	0.3333333333333333	0.15384615384615383
1	8	0	6	9	39	7	45	3	10	0.2	0.6666666666666666	0.30769230769230765
1	8	0	3	6	2	7	10	9	39	0.1	0.5	0.16666666666666669
0	1	4	6	2	9	3	5	10	7	0.0	0.0	0.0
4	2	3	16	0	12	6	1	7	5	0.1	0.5	0.16666666666666669
0	7	1	5	6	19	9	3	2	10	0.1	0.5	0.16666666666666669
7	1	18	2	0	3	11	6	8	10	0.0	0.0	0.0
3	4	2	0	1	10	9	6	5	55	0.0	0.0	0.0
4	3	0	7	1	6	2	5	19	9	0.1	0.3333333333333333	0.15384615384615383
0	2	1	6	18	13	3	4	10	11	0.0	0.0	0.0
1	6	4	0	21	3	2	7	5	10	0.2	0.6666666666666666	0.30769230769230765
1	0	2	6	9	10	3	4	5	8	0.0	0.0	0.0
4	0	1	2	9	6	10	3	16	32	0.0	0.0	0.0
0	2	4	3	1	9	5	6	10	32	0.0	0.0	0.0
0	2	4	1	3	6	9	7	5	10	0.0	0.0	0.0
0	1	4	3	6	2	9	35	26	7	0.1	0.5	0.16666666666666669
0	2	7	1	8	6	15	40	3	10	0.2	0.5	0.28571428571428575
5	6	40	0	1	15	11	8	45	105	0.0	0.0	0.0
0	1	6	2	9	10	7	3	4	11	0.1	0.3333333333333333	0.15384615384615383
4	3	2	9	10	0	1	17	23	6	0.0	0.0	0.0
40	45	7	0	1	6	2	3	8	251	0.2	1.0	0.33333333333333337
1	0	2	4	9	6	10	16	3	7	0.0	0.0	0.0
0	4	2	3	1	6	5	9	7	10	0.0	0.0	0.0
1	0	6	3	7	4	2	5	10	15	0.1	0.3333333333333333	0.15384615384615383
7	0	1	19	6	3	2	5	8	9	0.0	0.0	0.0
2	0	18	11	1	7	13	24	6	58	0.1	0.3333333333333333	0.15384615384615383
0	1	6	3	2	4	5	9	10	8	0.0	0.0	0.0
1	0	2	3	71	10	9	5	7	8	0.0	0.0	0.0
1	0	6	34	2	4	9	5	10	3	0.2	1.0	0.33333333333333337
5	6	0	1	8	15	7	2	171	3	0.1	0.3333333333333333	0.15384615384615383
10	0	1	2	3	9	4	6	5	20	0.2	1.0	0.33333333333333337
1	0	6	9	2	3	10	4	5	8	0.3	0.75	0.4285714285714285
6	5	0	1	2	7	3	9	15	4	0.0	0.0	0.0
0	1	2	6	21	9	10	3	32	5	0.1	1.0	0.18181818181818182
0	1	6	9	4	7	22	110	2	69	0.0	0.0	0.0
0	1	2	3	6	4	9	5	10	7	0.0	0.0	0.0
1	0	2	6	3	4	9	5	10	7	0.1	1.0	0.18181818181818182
9	4	16	278	3	1	0	2	340	11	0.2	1.0	0.33333333333333337
1	0	29	2	9	3	10	6	4	71	0.1	1.0	0.18181818181818182
0	1	6	9	2	3	4	7	10	17	0.0	0.0	0.0
0	1	8	6	2	3	9	5	4	10	0.1	0.5	0.16666666666666669
0	1	2	6	4	9	3	10	5	7	0.1	0.3333333333333333	0.15384615384615383
2	0	11	1	4	6	3	13	5	10	0.0	0.0	0.0
4	3	2	9	0	10	23	1	215	6	0.2	0.6666666666666666	0.30769230769230765
0	1	2	3	6	9	4	5	10	7	0.0	0.0	0.0
0	9	1	3	4	2	6	17	11	10	0.1	1.0	0.18181818181818182
2	3	4	1	7	0	6	10	16	5	0.1	0.3333333333333333	0.15384615384615383
0	1	6	2	10	9	103	3	4	7	0.0	0.0	0.0
18	7	13	0	11	2	1	6	5	24	0.1	1.0	0.18181818181818182
7	2	0	3	1	4	6	9	5	18	0.2	1.0	0.33333333333333337
4	3	9	17	2	0	1	10	6	5	0.2	0.6666666666666666	0.30769230769230765
1	9	4	0	17	6	5	2	3	10	0.1	1.0	0.18181818181818182
0	1	6	9	35	2	3	7	26	4	0.1	0.5	0.16666666666666669
2	7	3	0	4	1	10	9	6	5	0.0	0.0	0.0
